income,sex,university,hsgrade,grant,dropout
16972.06,female,pisa,95,yes,no
15934.29,female,pisa,100,yes,no
11630.53,female,pisa,80,yes,no
11903.36,female,pisa,84,yes,no
10032.52,female,pisa,79,yes,no
10732.85,male,pisa,75,yes,yes
14949.8,male,pisa,93,yes,no
11389.43,female,pisa,75,yes,no
14306.54,female,pisa,90,yes,no
11647.15,male,pisa,100,yes,no
12749,female,pisa,75,yes,no
16220.77,female,pisa,100,yes,no
10895.23,female,pisa,83,yes,yes
10972.35,female,pisa,68,yes,no
16786.27,female,pisa,100,yes,no
11645.69,female,pisa,93,yes,no
15317.16,female,pisa,68,yes,yes
18176.06,female,pisa,66,yes,yes
15714.01,female,pisa,70,yes,no
17188.86,female,pisa,65,yes,no
10382.93,male,pisa,60,yes,no
16917.45,female,pisa,100,yes,no
14290.69,male,pisa,100,yes,no
11462.84,female,pisa,100,yes,no
14212.98,female,pisa,100,yes,no
11315.92,female,pisa,98,yes,no
12757.72,female,pisa,100,yes,no
16528.72,female,pisa,100,yes,yes
15312.19,female,pisa,96,yes,no
15601.91,female,pisa,100,yes,no
16110.57,female,pisa,80,yes,yes
13858.97,female,pisa,90,yes,no
18097.7,female,pisa,76,yes,yes
10615.44,female,pisa,78,yes,no
13397.41,female,pisa,92,yes,no
13532.08,male,pisa,66,yes,no
15693.9,female,pisa,73,yes,no
10755.63,female,pisa,100,yes,no
14956.45,male,pisa,77,yes,no
10369.11,female,pisa,71,yes,yes
10421.02,male,pisa,91,yes,no
14402.31,female,pisa,100,yes,no
14740.23,female,pisa,86,yes,no
14590.98,male,pisa,100,yes,no
13224.31,female,pisa,100,yes,no
10112.2,female,pisa,90,yes,no
14004.16,female,pisa,90,yes,no
11448.78,female,pisa,78,yes,no
11852.65,female,pisa,100,yes,yes
18735.94,female,pisa,100,yes,no
14854.92,male,pisa,76,yes,no
14004.16,female,pisa,89,yes,no
14155.04,male,pisa,92,yes,no
14155.88,female,pisa,87,yes,no
15087.22,male,pisa,78,yes,no
18137.46,female,pisa,90,yes,no
18669.61,female,pisa,60,yes,no
13697.66,male,pisa,72,yes,no
13505.98,female,pisa,100,yes,no
11285.14,female,pisa,86,yes,no
14109.03,female,pisa,77,yes,no
12628.85,female,pisa,100,yes,no
11719.27,female,pisa,64,yes,no
15388.21,female,pisa,90,yes,no
10381.86,female,pisa,69,yes,no
15673.58,male,pisa,65,yes,no
11903.01,female,pisa,100,yes,no
10771.04,male,pisa,85,yes,no
15627.65,female,pisa,73,yes,no
18544.44,male,pisa,76,yes,no
16279.39,female,pisa,100,yes,no
15886.04,female,pisa,95,yes,yes
14504.93,female,pisa,74,yes,no
17654.44,male,pisa,60,yes,no
14725.29,male,pisa,95,yes,no
14528.8,female,pisa,82,yes,no
11622.79,male,pisa,67,yes,no
16194.11,female,pisa,70,yes,no
12547.97,female,pisa,78,yes,no
13577.24,female,pisa,66,yes,no
17745.68,male,pisa,100,yes,no
13708.83,male,pisa,85,yes,no
12918.34,female,pisa,100,yes,no
12934.15,female,pisa,100,yes,no
11438.35,male,pisa,90,yes,no
11570.68,male,pisa,70,yes,no
11764.71,female,pisa,69,yes,no
12606.91,male,pisa,78,yes,no
10930.14,female,pisa,60,yes,yes
15976.83,female,pisa,100,yes,no
11249.7,male,pisa,64,yes,no
14065.98,male,pisa,80,yes,no
10554.9,female,pisa,91,yes,no
10957.52,female,pisa,93,yes,no
12572.14,female,pisa,80,yes,no
12427.41,male,pisa,93,yes,no
17729.9,male,pisa,65,yes,no
13426.47,female,pisa,68,yes,no
16234.8,female,pisa,100,yes,yes
11321.22,female,pisa,64,yes,no
12408.82,male,pisa,84,yes,no
11602.66,female,pisa,70,yes,no
10748.35,female,pisa,100,yes,no
11989.81,female,pisa,60,yes,no
13548.06,female,pisa,100,yes,no
15132.22,female,pisa,100,yes,yes
16236.1,female,pisa,60,yes,yes
10293.5,female,pisa,100,yes,no
14902.65,female,pisa,97,yes,no
11881.81,female,pisa,100,yes,no
19512.14,female,pisa,87,yes,yes
12220.27,female,pisa,97,yes,yes
13270.61,male,pisa,91,yes,no
10475.68,male,pisa,63,yes,yes
16751.4,female,pisa,88,yes,no
11638.95,male,pisa,90,yes,no
14346.91,female,pisa,67,yes,no
17455.93,female,pisa,74,yes,no
11462.3,female,pisa,71,yes,yes
16151.59,female,pisa,88,yes,no
12643.59,female,pisa,65,yes,yes
12161.89,male,pisa,66,yes,no
15832.93,female,pisa,90,yes,no
18123.98,female,pisa,100,yes,yes
11086.61,female,pisa,73,yes,no
11850.25,female,pisa,60,yes,yes
16236.1,male,pisa,75,yes,yes
10559.07,male,pisa,83,yes,yes
13664.46,female,pisa,93,yes,no
11425.2,female,pisa,72,yes,no
11466.18,female,pisa,96,yes,no
16062.28,female,pisa,78,yes,yes
14049.61,female,pisa,83,yes,no
17278.09,female,pisa,100,yes,no
14900.16,male,pisa,100,yes,no
12536.34,female,pisa,92,yes,no
10091.15,female,pisa,60,yes,no
13297.13,female,pisa,97,yes,no
10514,female,pisa,60,yes,yes
13176.76,female,pisa,71,yes,no
13559.25,male,pisa,70,yes,no
11310.59,female,pisa,90,yes,no
10017.26,female,pisa,60,yes,no
19361.46,male,pisa,68,yes,no
19119.61,female,pisa,100,yes,yes
12582.6,male,pisa,74,yes,no
15477.35,female,pisa,100,yes,no
11006.64,female,pisa,83,yes,no
16560.08,female,pisa,66,yes,no
16807.67,female,pisa,95,yes,yes
15449.32,female,pisa,75,yes,no
12233.68,female,pisa,60,yes,no
12618.14,female,pisa,93,yes,no
13464.33,female,pisa,75,yes,yes
11675.2,male,pisa,94,yes,no
12392.75,female,pisa,83,yes,no
12353.56,female,pisa,83,yes,no
12353.56,female,pisa,82,yes,no
14930.62,female,pisa,78,yes,no
15625.61,male,pisa,83,yes,no
12115.99,female,pisa,100,yes,no
12328.46,female,pisa,100,yes,no
13383.71,male,pisa,100,yes,no
16437.24,male,pisa,77,yes,no
15913.23,male,pisa,73,yes,yes
13412.99,female,pisa,88,yes,no
14703.7,female,pisa,70,yes,no
13626.94,male,pisa,100,yes,no
10685.75,female,pisa,100,yes,no
12618.47,male,pisa,75,yes,no
11594.63,male,pisa,72,yes,no
16242.54,female,pisa,100,yes,no
14704.41,female,pisa,72,yes,no
17283.42,female,pisa,60,yes,no
13367.48,female,pisa,70,yes,yes
14091.72,female,pisa,78,yes,no
15102.46,male,pisa,60,yes,no
16417.84,female,pisa,70,yes,no
10330.68,female,pisa,100,yes,no
19944.59,male,pisa,67,yes,no
15370.94,male,pisa,80,yes,no
10122.16,female,pisa,83,yes,yes
14034.8,male,pisa,92,yes,no
13978.29,female,pisa,72,yes,no
16437.5,female,pisa,88,yes,no
13796.3,female,pisa,100,yes,yes
10854.47,male,pisa,70,yes,yes
10814.59,female,pisa,88,yes,no
13874.52,female,pisa,88,yes,yes
13880.67,female,pisa,63,yes,no
11521.66,male,pisa,70,yes,no
11038.37,female,pisa,61,yes,no
10697.56,female,pisa,100,yes,no
10745.85,female,pisa,100,yes,no
10224.66,female,pisa,67,yes,no
12352.54,female,pisa,86,yes,no
15935.03,male,pisa,60,yes,no
15904.91,female,pisa,100,yes,yes
12665.61,female,pisa,83,yes,no
18991.7,female,pisa,68,yes,no
10561.99,female,pisa,92,yes,yes
10938.35,female,pisa,84,yes,yes
12288.73,male,pisa,92,yes,no
17773.89,male,pisa,60,yes,no
14464.01,male,pisa,95,yes,no
11455.89,female,pisa,70,yes,yes
13895.07,female,pisa,74,yes,yes
14914.72,male,pisa,90,yes,no
14120.65,female,pisa,100,yes,no
12278.95,male,pisa,100,yes,no
16323.57,female,pisa,76,yes,no
11620.73,female,pisa,67,yes,no
18636,male,pisa,89,yes,yes
15967.41,male,pisa,82,yes,no
13703.17,male,pisa,65,yes,no
11007.72,female,pisa,66,yes,no
12680.14,female,pisa,97,yes,no
10296.08,female,pisa,94,yes,no
10695.59,male,pisa,98,yes,no
10392.39,male,pisa,77,yes,no
16270.12,female,pisa,61,yes,no
16048.65,male,pisa,75,yes,no
11751.33,female,pisa,100,yes,yes
17589.17,female,pisa,100,yes,no
12006.57,female,pisa,77,yes,no
13475.16,female,pisa,62,yes,no
17227.87,female,pisa,70,yes,no
11216.29,male,pisa,60,yes,no
11503.64,male,pisa,80,yes,no
10472.98,male,pisa,72,yes,yes
18416.27,male,pisa,100,yes,no
12625.79,male,pisa,94,yes,no
13105.39,male,pisa,83,yes,yes
13134.39,female,pisa,100,yes,no
10414.92,female,pisa,88,yes,no
18293.9,female,pisa,98,yes,no
17953.83,female,pisa,90,yes,yes
11911.04,female,pisa,60,yes,yes
13371.79,female,pisa,65,yes,yes
12498.48,female,pisa,100,yes,no
13288.7,female,pisa,100,yes,yes
15164.21,female,pisa,85,yes,no
17968.79,male,pisa,60,yes,yes
11675.2,male,pisa,94,yes,no
10338.13,female,pisa,84,yes,no
13757.32,female,pisa,93,yes,no
14501.79,female,pisa,65,yes,yes
15122.3,female,pisa,85,yes,no
12529.67,female,pisa,76,yes,no
12296.24,female,pisa,95,yes,no
18656.37,female,pisa,71,yes,yes
10683.82,male,pisa,60,yes,no
15640.98,female,pisa,100,yes,no
15942.63,male,pisa,100,yes,no
11273.25,female,pisa,100,yes,no
16865.59,male,pisa,95,yes,no
14514.3,male,pisa,76,yes,no
10060.57,male,pisa,89,yes,yes
18047.64,male,pisa,80,yes,no
17927.5,male,pisa,86,yes,no
15831.89,female,pisa,84,yes,yes
10598.28,male,pisa,100,yes,no
10614.23,male,pisa,95,yes,no
14599.21,female,pisa,90,yes,no
13667.55,male,pisa,78,yes,no
15021,male,pisa,85,yes,yes
14852.46,male,pisa,100,yes,no
10602.69,male,pisa,90,yes,yes
10543.36,female,pisa,100,yes,no
12653.66,male,pisa,100,yes,no
11232.36,male,pisa,72,yes,no
11915.32,male,pisa,75,yes,no
13773.75,male,pisa,82,yes,no
12686.45,male,pisa,82,yes,no
19636.28,male,pisa,73,yes,no
11106.45,female,pisa,92,yes,no
12160.81,male,pisa,62,yes,no
13084.02,female,pisa,84,yes,no
14454.83,male,pisa,76,yes,yes
10222.65,male,pisa,65,yes,no
18146.02,male,pisa,80,yes,no
14661.78,female,pisa,91,yes,yes
16054.12,female,pisa,95,yes,no
12249.19,male,pisa,67,yes,no
16500.95,male,pisa,100,yes,no
14684,male,pisa,65,yes,yes
14137.84,male,pisa,85,yes,no
11606.41,female,pisa,100,yes,no
11207.32,male,pisa,70,yes,yes
13970.19,male,pisa,72,yes,no
10224.87,male,pisa,100,yes,no
11149.65,male,pisa,62,yes,no
19554.49,female,pisa,87,yes,yes
11353.11,male,pisa,66,yes,no
12914.01,male,pisa,100,yes,no
11138.63,female,pisa,72,yes,no
13021.14,female,pisa,100,yes,no
18011.41,male,pisa,60,yes,no
11605.59,female,pisa,63,yes,yes
14825.48,male,pisa,100,yes,no
17069.28,female,pisa,100,yes,yes
15725.8,male,pisa,84,yes,no
14724.8,male,pisa,68,yes,no
18657.26,male,pisa,72,yes,yes
14239.84,male,pisa,85,yes,yes
12541.4,female,pisa,100,yes,no
11267.02,female,pisa,82,yes,no
16242.86,female,pisa,94,yes,no
11767.47,male,pisa,96,yes,no
11124,male,pisa,68,yes,no
16543.52,female,pisa,84,yes,no
11218.51,male,pisa,80,yes,yes
17667.02,male,pisa,94,yes,no
19642.09,male,pisa,75,yes,yes
13477.22,male,pisa,69,yes,no
12671.41,male,pisa,83,yes,no
10081.07,female,pisa,100,yes,no
13868.8,male,pisa,92,yes,no
10470.59,female,pisa,90,yes,no
19167.2,female,pisa,100,yes,no
12729.08,female,pisa,85,yes,yes
13204.58,male,pisa,77,yes,no
14591.64,female,pisa,70,yes,no
12836.76,male,pisa,70,yes,no
14124.02,male,pisa,68,yes,yes
15539.07,male,pisa,78,yes,no
16171.63,male,pisa,84,yes,no
18940.67,male,pisa,100,yes,no
11434.38,female,pisa,86,yes,no
12527,male,pisa,67,yes,no
12517.48,female,pisa,91,yes,no
15960.77,female,pisa,94,yes,no
15045.37,male,pisa,84,yes,no
16827.87,female,pisa,72,yes,yes
14186.62,male,pisa,98,yes,no
16715.56,male,pisa,66,yes,yes
10679.62,male,pisa,80,yes,no
14449.49,female,pisa,76,yes,no
12837.85,male,pisa,60,yes,no
14486.1,female,pisa,72,yes,yes
13103.43,male,pisa,90,yes,no
13094.88,female,pisa,63,yes,no
18944.81,female,pisa,72,yes,no
18295.02,male,pisa,92,yes,no
13624.74,male,pisa,70,yes,no
14750.51,female,pisa,78,yes,no
11687.01,female,pisa,72,yes,yes
12763.41,female,pisa,98,yes,yes
10273.17,female,pisa,100,yes,no
10501.57,male,pisa,100,yes,no
17581.5,male,pisa,100,yes,no
19676.98,male,pisa,100,yes,no
18830.27,male,pisa,96,yes,no
11254.69,male,pisa,84,yes,no
17043.17,female,pisa,90,yes,yes
16168.54,female,pisa,100,yes,no
16066.16,male,pisa,85,yes,no
14424.16,female,pisa,100,yes,no
11977.55,male,pisa,83,yes,no
14031.63,female,pisa,85,yes,no
12066.99,female,pisa,80,yes,no
13515.63,female,pisa,80,yes,no
13602.35,male,pisa,80,yes,no
16959.93,female,pisa,100,yes,no
10055.96,male,pisa,65,yes,no
11787.28,female,pisa,95,yes,no
11159.87,female,pisa,100,yes,no
11026.22,female,pisa,92,yes,no
14995.93,male,pisa,77,yes,no
13065.06,female,pisa,70,yes,no
15989.35,male,pisa,75,yes,no
12213.66,male,pisa,100,yes,yes
18393.89,female,pisa,98,yes,no
11947.93,male,pisa,65,yes,no
10219.11,male,pisa,78,yes,no
12094.31,male,pisa,60,yes,no
10198.99,male,pisa,60,yes,yes
13214.69,female,pisa,89,yes,no
12917.2,male,pisa,100,yes,no
10629.38,male,pisa,92,yes,no
19492.99,male,pisa,70,yes,no
14453.5,male,pisa,60,yes,yes
16572.11,male,pisa,66,yes,yes
10968.3,female,pisa,96,yes,no
15158.66,female,pisa,91,yes,no
16592.28,male,pisa,100,yes,no
14420.41,female,pisa,75,yes,no
15553.66,male,pisa,93,yes,no
15158.66,female,pisa,75,yes,no
10821.54,male,pisa,70,yes,yes
13234.32,male,pisa,68,yes,yes
19180.43,male,pisa,98,yes,no
10511.88,male,pisa,70,yes,no
13856.63,female,pisa,85,yes,no
14262.26,female,pisa,92,yes,no
11016.88,female,pisa,70,yes,no
